Hora;Lunes;Martes;Miércoles;Jueves;Viernes;Sabado
08:30 - 09:30;;BASE DE DATOS-S1 DCI03;;INFERECIA Y ESTADISTICA 'Espacio interdiciplinario';;INFERECIA Y ESTADISTICA 'J-301'
09:35 - 10:35;;BASE DE DATOS-S1 DCI03;;INFERECIA Y ESTADISTICA 'Espacio interdiciplinario';;INFERECIA Y ESTADISTICA 'J-301'
10:50 - 11:50;COMPUTACION NUMERICA-S1 F-308;;BASE DE DATOS-S1 DCI03;;INFERECIA Y ESTADISTICA 'J-301';
11:55 - 12:55;COMPUTACION NUMERICA-S1 F-308;;BASE DE DATOS-S1 DCI03;;INFERECIA Y ESTADISTICA 'J-301';
13:10 - 14:10;;;;SISTEMAS OPERATIVOS-LAB2 DCI03;;
14:30 - 15:30;COMPUTACION NUMERICA DCI03;;;;;
15:35 - 16:35;COMPUTACION NUMERICA DCI03;TEORIA DE LA COMPUTACION-S2 DCI03;;SISTEMAS OPERATIVOS-S2 I-115;;
16:50 - 17:50;;TEORIA DE LA COMPUTACION-S2 DCI03;;SISTEMAS OPERATIVOS-S2 I-115;;
17:55 - 18:55;;TEORIA DE LA COMPUTACION-S2 DCI03;;;;
19:10 - 20:10;;;;;;
